rank,name,score
1,肖申克的救赎,9.6
2,霸王别姬,9.6
3,这个杀手不太冷,9.4
4,阿甘正传,9.4
5,美丽人生,9.5
6,泰坦尼克号,9.3
7,千与千寻,9.3
8,辛德勒的名单,9.5
9,盗梦空间,9.3
10,机器人总动员,9.3
11,忠犬八公的故事,9.3
12,三傻大闹宝莱坞,9.2
13,海上钢琴师,9.2
14,放牛班的春天,9.2
15,大话西游之大圣娶亲,9.2
16,楚门的世界,9.2
17,龙猫,9.2
18,星际穿越,9.2
19,教父,9.2
20,熔炉,9.3
21,无间道,9.1
22,当幸福来敲门,9.0
23,疯狂动物城,9.2
24,触不可及,9.2
25,怦然心动,9.0
26,乱世佳人,9.2
27,蝙蝠侠：黑暗骑士,9.1
28,活着,9.2
29,天堂电影院,9.1
30,少年派的奇幻漂流,9.0
31,鬼子来了,9.2
32,十二怒汉,9.4
33,指环王3：王者无敌,9.1
34,控方证人,9.6
35,天空之城,9.1
36,搏击俱乐部,9.0
37,飞屋环游记,8.9
38,大话西游之月光宝盒,8.9
39,摔跤吧！爸爸,9.1
40,罗马假日,9.0
41,哈尔的移动城堡,9.0
42,窃听风暴,9.1
43,闻香识女人,9.0
44,辩护人,9.2
45,两杆大烟枪,9.1
46,飞越疯人院,9.1
47,死亡诗社,9.0
48,V字仇杀队,8.8
49,指环王2：双塔奇兵,9.0
50,教父2,9.1
51,海豚湾,9.3
52,指环王1：魔戒再现,8.9
53,饮食男女,9.1
54,美丽心灵,8.9
55,素媛,9.1
56,情书,8.8
57,末代皇帝,9.1
58,狮子王,8.9
59,钢琴家,9.1
60,美国往事,9.1
61,小鞋子,9.2
62,本杰明·巴顿奇事,8.8
63,七宗罪,8.8
64,致命魔术,8.8
65,被嫌弃的松子的一生,8.9
66,西西里的美丽传说,8.8
67,黑客帝国,8.9
68,看不见的客人,8.7
69,让子弹飞,8.7
70,拯救大兵瑞恩,8.9
71,音乐之声,8.9
72,天使爱美丽,8.7
73,大闹天宫,9.3
74,低俗小说,8.8
75,哈利·波特与魔法石,8.8
76,勇敢的心,8.8
77,剪刀手爱德华,8.7
78,沉默的羔羊,8.8
79,蝴蝶效应,8.7
80,春光乍泄,8.9
81,心灵捕手,8.8
82,寻梦环游记,9.0
83,猫鼠游戏,8.8
84,入殓师,8.8
85,布达佩斯大饭店,8.8
86,禁闭岛,8.7
87,幽灵公主,8.8
88,阳光灿烂的日子,8.8
89,玛丽和马克思,8.9
90,第六感,8.8
91,穿条纹睡衣的男孩,9.0
92,重庆森林,8.7
93,狩猎,9.1
94,致命ID,8.7
95,断背山,8.7
96,加勒比海盗,8.7
97,阿凡达,8.6
98,摩登时代,9.2
99,大鱼,8.8
100,告白,8.7
101,一一,9.0
102,射雕英雄传之东成西就,8.7
103,阳光姐妹淘,8.8
104,甜蜜蜜,8.8
105,消失的爱人,8.7
106,爱在黎明破晓前,8.8
107,喜剧之王,8.6
108,上帝之城,8.9
109,小森林 夏秋篇,8.9
110,侧耳倾听,8.8
111,风之谷,8.8
112,倩女幽魂,8.7
113,恐怖直播,8.7
114,红辣椒,8.9
115,超脱,8.8
116,爱在日落黄昏时,8.8
117,菊次郎的夏天,8.8
118,驯龙高手,8.7
119,幸福终点站,8.7
120,请以你的名字呼唤我,8.8
121,神偷奶爸,8.5
122,杀人回忆,8.7
123,借东西的小人阿莉埃蒂,8.7
124,哈利·波特与死亡圣器(下),8.7
125,小森林 冬春篇,9.0
126,七武士,9.2
127,岁月神偷,8.6
128,怪兽电力公司,8.6
129,真爱至上,8.5
130,7号房的礼物,8.8
131,萤火虫之墓,8.7
132,谍影重重3,8.7
133,电锯惊魂,8.7
134,萤火之森,8.8
135,疯狂原始人,8.7
136,东邪西毒,8.6
137,喜宴,8.8
138,贫民窟的百万富翁,8.5
139,超能陆战队,8.6
140,唐伯虎点秋香,8.5
141,蝙蝠侠：黑暗骑士崛起,8.6
142,记忆碎片,8.6
143,黑天鹅,8.5
144,英雄本色,8.6
145,心迷宫,8.7
146,雨人,8.7
147,傲慢与偏见,8.5
148,荒蛮故事,8.8
149,无人知晓,9.1
150,卢旺达饭店,8.9
151,纵横四海,8.7
152,时空恋旅人,8.7
153,血战钢锯岭,8.7
154,教父3,8.8
155,海洋,9.0
156,玩具总动员3,8.8
157,海边的曼彻斯特,8.6
158,花样年华,8.6
159,完美的世界,9.0
160,达拉斯买家俱乐部,8.7
161,虎口脱险,8.9
162,恋恋笔记本,8.5
163,你看起来好像很好吃,8.8
164,燃情岁月,8.7
165,二十二,8.7
166,雨中曲,9.0
167,冰川时代,8.5
168,我是山姆,8.8
169,穿越时空的少女,8.6
170,魂断蓝桥,8.8
171,猜火车,8.5
172,人工智能,8.6
173,头脑特工队,8.7
174,被解救的姜戈,8.6
175,爆裂鼓手,8.6
176,无敌破坏王,8.7
177,你的名字。,8.4
178,未麻的部屋,8.9
179,罗生门,8.7
180,香水,8.4
181,阿飞正传,8.5
182,模仿游戏,8.6
183,浪潮,8.7
184,房间,8.8
185,朗读者,8.5
186,一个叫欧维的男人决定去死,8.8
187,恐怖游轮,8.4
188,忠犬八公物语,9.1
189,完美陌生人,8.5
190,魔女宅急便,8.5
191,可可西里,8.7
192,哪吒闹海,8.9
193,战争之王,8.6
194,谍影重重,8.5
195,一次别离,8.7
196,谍影重重2,8.6
197,牯岭街少年杀人事件,8.8
